timestamp,clocks.sm[MHz],temperature.gpu[C],power.draw[W],utilization.gpu[%]
2026/07/21 12:25:48.975, 1500, 67, 571.47, 99
2026/07/21 12:25:50.121, 1440, 67, 571.31, 99
2026/07/21 12:25:51.276, 1470, 68, 568.09, 100
2026/07/21 12:25:52.438, 1425, 68, 573.43, 99
2026/07/21 12:25:53.580, 1560, 64, 472.23, 5
2026/07/21 12:25:54.736, 1440, 67, 576.23, 99
2026/07/21 12:25:55.887, 1530, 67, 573.63, 100
2026/07/21 12:25:57.031, 1530, 67, 573.17, 98
2026/07/21 12:25:58.183, 1470, 68, 573.74, 100
2026/07/21 12:25:59.337, 1455, 68, 576.43, 99
2026/07/21 12:26:00.481, 1455, 68, 575.92, 99
2026/07/21 12:26:01.637, 1455, 68, 571.96, 100
2026/07/21 12:26:02.790, 1500, 68, 571.52, 99
2026/07/21 12:26:03.940, 1440, 69, 572.77, 99
2026/07/21 12:26:05.092, 1530, 68, 575.66, 99
2026/07/21 12:26:06.235, 1530, 68, 572.77, 99
2026/07/21 12:26:07.398, 1515, 69, 574.23, 99
2026/07/21 12:26:08.543, 1455, 68, 571.51, 99
2026/07/21 12:26:09.699, 1455, 69, 571.68, 99
2026/07/21 12:26:10.850, 1515, 68, 571.72, 98
2026/07/21 12:26:11.998, 1515, 68, 569.42, 100
2026/07/21 12:26:13.153, 1470, 69, 576.11, 99
2026/07/21 12:26:14.298, 1500, 69, 575.71, 99
2026/07/21 12:26:15.454, 1830, 55, 306.75, 0
2026/07/21 12:26:16.601, 1830, 52, 157.59, 0
2026/07/21 12:26:17.740, 1830, 51, 156.43, 3
2026/07/21 12:26:19.022, 1830, 51, 158.77, 0
2026/07/21 12:26:20.269, 1830, 50, 158.20, 0
2026/07/21 12:26:21.866, 1830, 50, 157.95, 0
2026/07/21 12:26:23.121, 1830, 50, 157.68, 0
2026/07/21 12:26:24.275, 1830, 49, 157.35, 0
2026/07/21 12:26:25.423, 1830, 49, 157.14, 0
2026/07/21 12:26:26.568, 1830, 49, 157.23, 0
2026/07/21 12:26:27.724, 1830, 49, 157.19, 0
2026/07/21 12:26:28.873, 1830, 49, 157.05, 0
2026/07/21 12:26:30.021, 1830, 49, 156.85, 0
2026/07/21 12:26:31.181, 1830, 49, 154.84, 0
2026/07/21 12:26:32.322, 1830, 49, 161.08, 1
2026/07/21 12:26:33.483, 1425, 64, 498.18, 99
2026/07/21 12:26:34.627, 1470, 66, 570.56, 100
2026/07/21 12:26:35.780, 1440, 67, 572.12, 99
2026/07/21 12:26:36.930, 1425, 67, 572.50, 99
2026/07/21 12:26:38.083, 1440, 68, 572.77, 100
2026/07/21 12:26:39.233, 1425, 68, 572.30, 99
2026/07/21 12:26:40.386, 1470, 68, 570.58, 99
2026/07/21 12:26:41.538, 1425, 68, 575.43, 100
2026/07/21 12:26:42.692, 1425, 69, 574.04, 99
2026/07/21 12:26:43.834, 1455, 68, 572.99, 99
