timestamp,clocks.sm[MHz],temperature.gpu[C],power.draw[W],utilization.gpu[%]
2026/07/21 11:22:04.005, 1410, 66, 536.73, 99
2026/07/21 11:22:05.176, 1440, 67, 536.71, 99
2026/07/21 11:22:06.356, 1425, 68, 541.51, 100
2026/07/21 11:22:07.530, 1440, 69, 553.76, 100
2026/07/21 11:22:08.709, 1455, 69, 555.66, 98
2026/07/21 11:22:09.884, 1455, 70, 553.40, 99
2026/07/21 11:22:11.060, 1500, 70, 555.70, 98
2026/07/21 11:22:12.234, 1455, 70, 553.27, 98
2026/07/21 11:22:13.411, 1455, 70, 554.16, 99
2026/07/21 11:22:14.587, 1425, 70, 551.44, 99
2026/07/21 11:22:15.761, 1425, 70, 551.66, 98
2026/07/21 11:22:16.936, 1485, 69, 550.10, 97
2026/07/21 11:22:18.112, 1515, 68, 396.62, 96
2026/07/21 11:22:19.288, 1515, 69, 552.55, 99
2026/07/21 11:22:20.463, 1425, 70, 554.18, 99
2026/07/21 11:22:21.635, 1485, 70, 551.74, 100
2026/07/21 11:22:22.814, 1500, 70, 552.55, 100
2026/07/21 11:22:23.989, 1455, 70, 553.86, 98
2026/07/21 11:22:25.166, 1455, 70, 554.83, 98
2026/07/21 11:22:26.339, 1545, 70, 553.03, 99
2026/07/21 11:22:27.517, 1500, 70, 552.06, 99
2026/07/21 11:22:28.691, 1515, 70, 555.75, 99
2026/07/21 11:22:29.867, 1545, 71, 550.82, 100
2026/07/21 11:22:31.041, 1425, 70, 553.34, 100
2026/07/21 11:22:32.218, 1440, 71, 551.94, 96
2026/07/21 11:22:33.387, 1980, 55, 160.31, 0
2026/07/21 11:22:34.547, 1980, 53, 145.45, 0
2026/07/21 11:22:35.707, 1980, 52, 149.02, 0
2026/07/21 11:22:36.898, 345, 49, 92.05, 0
2026/07/21 11:22:38.655, 345, 48, 89.74, 0
2026/07/21 11:22:39.967, 345, 48, 90.06, 0
2026/07/21 11:22:41.149, 345, 48, 90.05, 0
2026/07/21 11:22:42.331, 345, 48, 90.01, 0
2026/07/21 11:22:43.515, 345, 48, 90.08, 0
2026/07/21 11:22:44.690, 345, 47, 89.94, 0
2026/07/21 11:22:45.868, 345, 47, 89.84, 0
2026/07/21 11:22:47.048, 345, 47, 90.09, 0
2026/07/21 11:22:48.231, 345, 47, 89.83, 0
2026/07/21 11:22:49.394, 1980, 49, 110.81, 0
2026/07/21 11:22:50.555, 1980, 50, 149.30, 19
2026/07/21 11:22:51.733, 1485, 56, 311.51, 100
2026/07/21 11:22:52.908, 1425, 66, 540.97, 100
2026/07/21 11:22:54.081, 1395, 66, 536.02, 100
2026/07/21 11:22:55.254, 1395, 68, 543.07, 100
2026/07/21 11:22:56.434, 1515, 69, 546.23, 97
2026/07/21 11:22:57.613, 1440, 69, 544.58, 98
2026/07/21 11:22:58.786, 1455, 68, 552.41, 99
2026/07/21 11:22:59.960, 1425, 69, 555.08, 99
2026/07/21 11:23:01.137, 1485, 70, 552.52, 99
2026/07/21 11:23:02.314, 1440, 70, 552.00, 100
2026/07/21 11:23:03.486, 1425, 70, 555.98, 100
2026/07/21 11:23:04.663, 1515, 70, 551.33, 98
2026/07/21 11:23:05.841, 1455, 70, 553.99, 98
2026/07/21 11:23:07.017, 1440, 70, 551.38, 99
2026/07/21 11:23:08.192, 1485, 70, 553.70, 99
2026/07/21 11:23:09.370, 1485, 70, 553.18, 99
2026/07/21 11:23:10.545, 1485, 70, 551.44, 100
2026/07/21 11:23:11.721, 1695, 69, 546.53, 98
2026/07/21 11:23:12.895, 1965, 69, 537.55, 99
2026/07/21 11:23:14.066, 1965, 67, 376.14, 92
2026/07/21 11:23:15.246, 1980, 68, 525.35, 99
2026/07/21 11:23:16.426, 1980, 69, 537.88, 99
2026/07/21 11:23:17.597, 1980, 69, 537.41, 99
2026/07/21 11:23:18.787, 1980, 69, 537.25, 97
2026/07/21 11:23:19.948, 1980, 58, 375.69, 0
2026/07/21 11:23:21.106, 1980, 54, 146.26, 0
2026/07/21 11:23:22.265, 1980, 53, 146.84, 0
2026/07/21 11:23:23.423, 1980, 52, 148.15, 0
2026/07/21 11:23:24.831, 345, 49, 93.15, 0
2026/07/21 11:23:26.658, 345, 48, 90.15, 0
2026/07/21 11:23:27.838, 345, 48, 90.04, 0
2026/07/21 11:23:29.014, 345, 48, 90.06, 0
2026/07/21 11:23:30.192, 345, 48, 90.04, 0
2026/07/21 11:23:31.366, 345, 48, 90.09, 0
2026/07/21 11:23:32.541, 345, 47, 90.09, 0
2026/07/21 11:23:33.718, 345, 47, 90.00, 0
2026/07/21 11:23:34.899, 345, 47, 90.05, 0
2026/07/21 11:23:36.095, 1980, 47, 91.67, 0
2026/07/21 11:23:37.282, 1980, 49, 141.80, 0
2026/07/21 11:23:38.441, 1965, 51, 188.16, 11
2026/07/21 11:23:39.620, 1320, 64, 396.65, 98
2026/07/21 11:23:40.796, 1365, 65, 522.11, 99
2026/07/21 11:23:41.972, 1500, 68, 541.13, 100
2026/07/21 11:23:43.145, 1470, 68, 531.99, 98
2026/07/21 11:23:44.322, 1410, 69, 550.42, 99
2026/07/21 11:23:45.498, 1395, 69, 538.77, 100
2026/07/21 11:23:46.680, 1485, 69, 546.04, 98
