model,source,value
qwen3-32b-tp4-pp2-mbs2-vpp8,Simulated,8130.298750129054
qwen3-32b-tp2-pp4-mbs1-vpp1,Baseline,8948.66919517517
qwen3-32b-tp2-pp4-mbs1-vpp1,Baseline,8971.542358398438
qwen3-32b-tp2-pp4-mbs1-vpp1,Baseline,10354.376554489136
qwen3-32b-tp2-pp4-mbs1-vpp1,Baseline,8969.31505203247
qwen3-32b-tp2-pp4-mbs1-vpp1,Baseline,8966.135501861572
qwen3-32b-tp2-pp4-mbs1-vpp1,Baseline,8968.353986740112
qwen3-32b-tp2-pp4-mbs1-vpp1,Baseline,8963.09208869934
qwen3-32b-tp2-pp4-mbs1-vpp1,Baseline,9398.213863372803
qwen3-32b-tp2-pp4-mbs1-vpp1,Baseline,9462.292909622192
qwen3-32b-tp2-pp4-mbs1-vpp1,Baseline,9451.098203659058
qwen3-32b-tp2-pp4-mbs1-vpp1,Baseline,8968.155145645142
qwen3-32b-tp2-pp4-mbs1-vpp1,Baseline,9457.72647857666
qwen3-32b-tp2-pp4-mbs1-vpp1,Baseline,10299.169063568115
qwen3-32b-tp2-pp4-mbs1-vpp1,Baseline,8969.106197357178
qwen3-32b-tp2-pp4-mbs1-vpp1,Baseline,8962.60666847229
qwen3-32b-tp2-pp4-mbs1-vpp1,Baseline,8961.637496948242
qwen3-32b-tp2-pp4-mbs1-vpp1,Baseline,8971.000671386719
qwen3-32b-tp2-pp4-mbs1-vpp1,Baseline,9538.671016693115
qwen3-32b-tp2-pp4-mbs1-vpp1,Baseline,9991.557836532593
qwen3-32b-tp2-pp4-mbs1-vpp1,Baseline,9590.936183929443
qwen3-32b-tp2-pp4-mbs1-vpp1,Baseline,8973.48690032959
qwen3-32b-tp2-pp4-mbs1-vpp1,Baseline,8970.116376876831
qwen3-32b-tp2-pp4-mbs1-vpp1,Baseline,8972.557067871094
qwen3-32b-tp2-pp4-mbs1-vpp1,Baseline,8970.464706420898
qwen3-32b-tp2-pp4-mbs1-vpp1,Baseline,9473.495244979858
qwen3-32b-tp2-pp4-mbs1-vpp1,Baseline,10215.373039245605
qwen3-32b-tp2-pp4-mbs1-vpp1,Baseline,8976.787567138672
qwen3-32b-tp2-pp4-mbs1-vpp1,Baseline,8975.124835968018
qwen3-32b-tp2-pp4-mbs1-vpp1,Baseline,9382.410526275635
qwen3-32b-tp2-pp4-mbs1-vpp1,Baseline,10566.355466842651
qwen3-32b-tp2-pp4-mbs1-vpp1,Simulated,8848.65089106193
